Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Jump,L2B ,Jump,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRDJ72500490,3377836451
Pélican,L2B ,Pélican,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRDJ72500030,3230221521
Cayenne,GAZY MP,Cayenne,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92515190,3319651001
Coco,SUEILO,Coco,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,TCAJE2444648,3150312001
Tout Pour L'équipe,L2B ,Tout Pour L’Equipe,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRDJ72500350,3310190031
New Day,BARA,New Day,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12521457,3317724511
VISION,Pekace,VISION,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92511920,3299580791
VIOLENCE,Digba LaPurple,VIOLENCE,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FXR872500034,3309659891
YAKO,døpelym,WHO IS DØPE?,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,QZPEW2578546,3312065821
GO,Didi B,GO,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12506244,3210618181
PAIN & GAIN,Ms Tungi,PAIN & GAIN,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12514579,3274341431
SKILLS,Pekace,SKILLS,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92506690,3254308391
Padtal,Denden,Padtal,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR5GK2500020,3240930111
Tendance,L2B ,Nés Pour Briller : Book I,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRDJ72500110,3233107391
Bisous,Soolking,Africa Jungle Part.1,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92502950,3236732361
Tourner en Rond,L2B ,Tourner en Rond,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12512829,3268051911
1200,Ms Tungi,1200,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12508928,3232040051
Freestyle CKO,L2B ,Freestyle CKO,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRDJ72500340,3282889891
Sexy Woman,La Mano 1.9,Sexy Woman,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12502892,3200156051
Toc Toc,Trigga,ROOKIE,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FXR872500011,3243680441
TOUT ÇA,TIITO,TOUT ÇA,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FXR872500002,3198791391
DX3 (Dégâts X3),Didi B,DX3 (Dégâts X3),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12466426,3140372191
MÊMES DÉLITS,TIITO,MÊMES DÉLITS,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FXR872500027,3310688311
CARRÉ OK,Soolking,CARRÉ OK,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92449040,3133916441
WIN WIN,Davy One,WIN WIN,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR5GK2500010,3209950251
Bara,Sonik,Bara,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12502490,3189240591
Voilà,Dertay,Voilà,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92501111,3179617691
